28,rutrum nulla,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,image-28.jpg,51.8,5,8
29,neque aenean,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",image-29.jpg,69.55,8,10
30,iaculis diam erat,Sed ante. Vivamus tortor. Duis mattis egestas metus.,image-30.jpg,90.5,8,10
31,in congue etiam,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",image-31.jpg,74.03,6,9
32,maecenas ut,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,image-32.jpg,83.25,7,4
33,in leo,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",image-33.jpg,34.39,9,2
34,tempus,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,image-34.jpg,19.57,3,7
35,ultrices,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",image-35.jpg,18.48,1,1
36,iaculis congue,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,image-36.jpg,26.41,10,4
37,sociis natoque,Fusce consequat. Nulla nisl. Nunc nisl.,image-37.jpg,16.2,6,1
38,tristique est et,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,image-38.jpg,84.97,5,2
39,ut blandit non,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,image-39.jpg,46.55,1,2
40,nonummy maecenas tincidunt,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",image-40.jpg,90.83,1,1
